URL,Title,Salary,Contract Type,Job Type,Address
https://www.reed.co.uk/jobs/web-scraping-data-analyst/52229750?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,Web Scraping Data Analyst,"£34,000 per annum",Contract,full-time,Newbury
https://www.reed.co.uk/jobs/supply-chain-data-analyst/52125427?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,Supply Chain Data Analyst ,"£55,000 - £62,000 per annum",Permanent,full-time,Gaydon
https://www.reed.co.uk/jobs/financial-data-analyst-analyst-recommendations/52155509?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,Financial Data Analyst - Analyst Recommendations,Salary negotiable,Temporary,full-time,London
https://www.reed.co.uk/jobs/waste-and-esg-data-analyst/52107000?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,Waste and ESG data analyst,Salary negotiable,Permanent,full-time,Ipswich
https://www.reed.co.uk/jobs/data-analyst/52118125?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,Data Analyst,£36 - £450 per day,Contract,full-time,South West England
https://www.reed.co.uk/jobs/data-governance-analyst/52168319?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D5,Data Governance Analyst,€95 - €110 per hour,Contract,full-time,Netherlands
https://www.reed.co.uk/jobs/risk-data-analyst/52190438?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D5,Risk Data Analyst,Competitive salary,Permanent,full-time,Loughborough
https://www.reed.co.uk/jobs/data-analyst/52125679?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D5,Data Analyst,£350 - £450 per day,Contract,full-time,Manchester
https://www.reed.co.uk/jobs/data-analyst/52176937?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D5,Data Analyst,"£30,000 - £35,000 per annum",Permanent,full-time,Reading
https://www.reed.co.uk/jobs/data-analyst/52207081?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D5,Data Analyst ,"£30,000 - £40,000 per annum",Permanent,full-time,Birmingham
https://www.reed.co.uk/jobs/data-analyst/52205852?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D5,Data Analyst,"£35,000 - £40,000 per annum",Permanent,full-time,Blackburn
https://www.reed.co.uk/jobs/data-analyst/52142272?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D5,Data Analyst,"£30,000 - £35,000 per annum",Permanent,full-time,Stourport-on-Severn
